instance,K,il_cost
instance_000,500,9796.0
instance_001,1000,23013.0
instance_002,100,11009.0
instance_003,1000,10383.0
instance_004,100,9227.0
instance_005,1000,6883.0
instance_006,5000,24578.0
instance_007,500,19254.0
instance_008,5000,34072.0
instance_009,3000,25766.0
instance_010,500,20650.0
instance_011,5000,33990.0
instance_012,5000,31102.0
instance_013,5000,51350.0
instance_014,5000,34354.0
instance_015,3000,26069.0
instance_016,3000,26852.0
instance_017,500,22802.0
instance_018,100,8038.0
instance_019,5000,52431.0
instance_020,1000,27261.0
instance_021,100,15532.0
instance_022,5000,18193.0
instance_023,1000,7345.0
instance_024,100,14506.0
instance_025,100,17826.0
instance_026,500,19234.0
instance_027,100,22009.0
instance_028,500,20284.0
instance_029,500,7695.0
instance_030,3000,17041.0
instance_031,3000,17699.0
instance_032,1000,24995.0
instance_033,100,21557.0
instance_034,3000,40085.0
instance_035,5000,24795.0
instance_036,5000,46845.0
instance_037,500,11173.0
instance_038,500,21919.0
instance_039,500,8085.0
instance_040,1000,11659.0
instance_041,5000,41528.0
instance_042,100,13762.0
instance_043,1000,20856.0
instance_044,3000,17427.0
instance_045,500,12051.0
instance_046,500,11338.0
instance_047,5000,15228.0
instance_048,3000,23791.0
instance_049,5000,23485.0
instance_050,100,11043.0
instance_051,100,7537.0
instance_052,100,14524.0
instance_053,5000,30437.0
instance_054,3000,12676.0
instance_055,3000,30227.0
instance_056,100,16046.0
instance_057,500,24135.0
instance_058,3000,17537.0
instance_059,100,20469.0
instance_060,3000,19983.0
instance_061,100,7769.0
instance_062,3000,14176.0
instance_063,1000,15542.0
instance_064,5000,27336.0
instance_065,5000,24052.0
instance_066,5000,16555.0
instance_067,3000,40393.0
instance_068,1000,9223.0
instance_069,3000,26649.0
instance_070,500,14097.0
instance_071,100,11768.0
instance_072,3000,39015.0
instance_073,1000,21103.0
instance_074,3000,37044.0
instance_075,1000,25482.0
instance_076,500,15752.0
instance_077,5000,49142.0
instance_078,500,24134.0
instance_079,500,11991.0
instance_080,500,19721.0
instance_081,100,18780.0
instance_082,3000,18771.0
instance_083,1000,8693.0
instance_084,1000,13047.0
instance_085,5000,15576.0
instance_086,500,21363.0
instance_087,1000,9221.0
instance_088,3000,30820.0
instance_089,1000,25125.0
instance_090,5000,33880.0
instance_091,1000,13110.0
instance_092,100,17488.0
instance_093,1000,19568.0
instance_094,500,17238.0
instance_095,1000,15789.0
instance_096,1000,17760.0
instance_097,100,22520.0
instance_098,3000,10191.0
instance_099,100,8771.0
