instance,K,new_cost,old_cost,new_spread,old_spread,new_delay,old_delay,new_priority_dropped,old_priority_dropped
instance_000,500,10651.0,10014.0,1,3,10151.0,8514.0,0,0
instance_001,1000,24422.0,22513.0,5,6,19422.0,16513.0,0,0
instance_002,100,11640.0,10198.0,1,3,11540.0,9898.0,0,0
instance_003,1000,12247.0,9878.0,2,3,10247.0,6878.0,0,0
instance_004,100,11726.0,9709.0,1,3,11626.0,9409.0,0,0
instance_005,1000,6398.0,6031.0,1,2,5398.0,4031.0,0,0
instance_006,5000,16398.0,23567.0,1,3,11398.0,8567.0,0,0
instance_007,500,20977.0,18850.0,3,4,19477.0,16850.0,0,0
instance_008,5000,25989.0,33911.0,2,4,15989.0,13911.0,0,0
instance_009,3000,19117.0,25668.0,1,4,16117.0,13668.0,0,0
instance_010,500,21459.0,20384.0,3,5,19959.0,17884.0,0,0
instance_011,5000,32373.0,33919.0,3,4,17373.0,13919.0,0,0
instance_012,5000,18658.0,30508.0,1,4,13658.0,10508.0,0,0
instance_013,5000,44479.0,49807.0,4,6,24479.0,19807.0,0,0
instance_014,5000,26419.0,33709.0,2,4,16419.0,13709.0,0,0
instance_015,3000,23119.0,25463.0,2,4,17119.0,13463.0,0,0
instance_016,3000,24135.0,26134.0,2,4,18135.0,14134.0,0,0
instance_017,500,25575.0,21963.0,2,6,24575.0,18963.0,0,0
instance_018,100,10223.0,9300.0,1,3,10123.0,9000.0,0,0
instance_019,5000,47319.0,53612.0,4,6,27319.0,23612.0,0,0
instance_020,1000,26673.0,27307.0,2,6,24673.0,21307.0,0,0
instance_021,100,19886.0,15042.0,2,5,19686.0,14542.0,0,0
instance_022,5000,12271.0,17379.0,1,2,7271.0,7379.0,0,0
instance_023,1000,7637.0,7346.0,1,2,6637.0,5346.0,0,0
instance_024,100,17186.0,14381.0,2,4,16986.0,13981.0,0,0
instance_025,100,20630.0,17462.0,4,5,20230.0,16962.0,0,0
instance_026,500,22970.0,18869.0,3,5,21470.0,16369.0,0,0
instance_027,100,22885.0,21468.0,2,6,22685.0,20868.0,0,0
instance_028,500,21840.0,20288.0,3,5,20340.0,17788.0,0,0
instance_029,500,8920.0,7537.0,1,2,8420.0,6537.0,0,0
instance_030,3000,16865.0,17312.0,2,3,10865.0,8312.0,0,0
instance_031,3000,12916.0,17771.0,1,3,9916.0,8771.0,0,0
instance_032,1000,25728.0,25194.0,3,6,22728.0,19194.0,0,0
instance_033,100,24863.0,21072.0,4,6,24463.0,20472.0,0,0
instance_034,3000,37606.0,40137.0,4,6,25606.0,22137.0,0,0
instance_035,5000,17636.0,24282.0,1,3,12636.0,9282.0,0,0
instance_036,5000,41879.0,48249.0,4,6,21879.0,18249.0,0,0
instance_037,500,10934.0,11722.0,1,3,10434.0,10222.0,0,0
instance_038,500,22572.0,20972.0,2,5,21572.0,18472.0,0,0
instance_039,500,8349.0,7683.0,2,2,7349.0,6683.0,0,0
instance_040,1000,11264.0,11651.0,2,3,9264.0,8651.0,0,0
instance_041,5000,29862.0,40473.0,2,5,19862.0,15473.0,0,0
instance_042,100,16921.0,13714.0,2,4,16721.0,13314.0,0,0
instance_043,1000,22314.0,20088.0,3,5,19314.0,15088.0,0,0
instance_044,3000,13995.0,17423.0,1,3,10995.0,8423.0,0,0
instance_045,500,15010.0,12419.0,4,4,13010.0,10419.0,0,0
instance_046,500,11789.0,11255.0,2,3,10789.0,9755.0,0,0
instance_047,5000,12043.0,16016.0,1,2,7043.0,6016.0,0,0
instance_048,3000,18220.0,24318.0,1,4,15220.0,12318.0,0,0
instance_049,5000,15195.0,23162.0,1,3,10195.0,8162.0,0,0
instance_050,100,12678.0,10969.0,1,3,12578.0,10669.0,0,0
instance_051,100,8776.0,7578.0,1,2,8676.0,7378.0,0,0
instance_052,100,14418.0,14675.0,1,4,14318.0,14275.0,0,0
instance_053,5000,23857.0,30625.0,2,4,13857.0,10625.0,0,0
instance_054,3000,10944.0,12630.0,1,2,7944.0,6630.0,0,0
instance_055,3000,27930.0,30541.0,3,5,18930.0,15541.0,0,0
instance_056,100,20835.0,17124.0,2,5,20635.0,16624.0,0,0
instance_057,500,28301.0,22898.0,4,6,26301.0,19898.0,0,0
instance_058,3000,12454.0,17513.0,1,3,9454.0,8513.0,0,0
instance_059,100,22294.0,19317.0,3,6,21994.0,18717.0,0,0
instance_060,3000,16183.0,19142.0,1,3,13183.0,10142.0,0,0
instance_061,100,9017.0,6895.0,2,3,8817.0,6595.0,0,0
instance_062,3000,12083.0,14363.0,1,2,9083.0,8363.0,0,0
instance_063,1000,15086.0,15386.0,2,4,13086.0,11386.0,0,0
instance_064,5000,21506.0,26627.0,2,3,11506.0,11627.0,0,0
instance_065,5000,15110.0,24011.0,1,3,10110.0,9011.0,0,0
instance_066,5000,12306.0,15823.0,1,2,7306.0,5823.0,0,0
instance_067,3000,32357.0,40992.0,2,6,26357.0,22992.0,0,0
instance_068,1000,8719.0,9239.0,1,2,7719.0,7239.0,0,0
instance_069,3000,23755.0,26073.0,3,4,14755.0,14073.0,0,0
instance_070,500,15031.0,14262.0,2,4,14031.0,12262.0,0,0
instance_071,100,15896.0,12773.0,3,5,15596.0,12273.0,0,0
instance_072,3000,31995.0,37698.0,2,6,25995.0,19698.0,0,0
instance_073,1000,23813.0,20496.0,4,6,19813.0,14496.0,0,0
instance_074,3000,31601.0,36341.0,3,6,22601.0,18341.0,0,0
instance_075,1000,27313.0,25688.0,4,6,23313.0,19688.0,0,0
instance_076,500,19430.0,16285.0,2,5,18430.0,13785.0,0,0
instance_077,5000,33753.0,49682.0,2,6,23753.0,19682.0,0,0
instance_078,500,25402.0,23102.0,2,6,24402.0,20102.0,0,0
instance_079,500,13483.0,11248.0,1,3,12983.0,9748.0,0,0
instance_080,500,22948.0,19659.0,4,6,20948.0,16659.0,0,0
instance_081,100,23182.0,18856.0,3,6,22882.0,18256.0,0,0
instance_082,3000,14749.0,19107.0,1,3,11749.0,10107.0,0,0
instance_083,1000,8784.0,8527.0,1,2,7784.0,6527.0,0,0
instance_084,1000,13072.0,12529.0,2,3,11072.0,9529.0,0,0
instance_085,5000,11902.0,15593.0,1,2,6902.0,5593.0,0,0
instance_086,500,21553.0,20644.0,2,5,20553.0,18144.0,0,0
instance_087,1000,8538.0,8098.0,1,2,7538.0,6098.0,0,0
instance_088,3000,24772.0,31506.0,2,5,18772.0,16506.0,0,0
