epoch,train_loss,train_ce,train_weight_pen,train_volume_pen,val_loss,val_weight_pen,val_volume_pen,train_acc,val_acc,priority_acc,lr
1,1.302838,1.242061,3.922532,20.388467,1.20904,3.5529,20.062428,0.5785,0.6028,0.2339,3e-05
2,1.212612,1.157106,3.491514,18.710558,1.19696,3.319518,19.048982,0.6123,0.6098,0.2564,3e-05
3,1.19378,1.138944,3.452196,18.481885,1.175771,3.183526,18.238055,0.6188,0.616,0.2831,2.999e-05
4,1.169998,1.116213,3.425829,18.088261,1.123746,3.358195,17.992227,0.6236,0.6307,0.3593,2.999e-05
5,1.136665,1.08406,3.496529,17.545423,1.074121,3.791305,18.472114,0.6279,0.6422,0.4129,2.998e-05
6,1.095061,1.044739,3.469852,16.658874,1.022111,3.479226,16.402325,0.6364,0.6442,0.4212,2.997e-05
7,1.062104,1.01287,3.440495,16.253092,0.98962,3.586337,16.30195,0.6397,0.6489,0.4315,2.996e-05
8,1.033043,0.984356,3.444062,16.030696,0.968997,3.587482,16.339929,0.6429,0.6539,0.4514,2.995e-05
9,1.018214,0.969624,3.455915,15.980231,0.952849,3.665482,16.625716,0.6461,0.6579,0.4627,2.994e-05
10,1.003287,0.954929,3.435934,15.90705,0.946947,3.860443,17.275768,0.6481,0.6617,0.471,2.992e-05
11,0.992549,0.94429,3.435193,15.868386,0.933554,3.500783,16.363751,0.6507,0.6615,0.479,2.991e-05
12,0.98234,0.934044,3.430052,15.88826,0.922021,3.562832,16.413699,0.6517,0.6682,0.5005,2.989e-05
13,0.973973,0.925978,3.409084,15.788847,0.933341,4.081942,18.053739,0.6548,0.6727,0.5045,2.987e-05
14,0.969099,0.92071,3.440646,15.915057,0.912114,3.673136,17.048277,0.657,0.6705,0.4991,2.985e-05
15,0.960484,0.912097,3.427442,15.927259,0.91105,3.974238,17.706444,0.6598,0.6822,0.5437,2.982e-05
16,0.950678,0.902287,3.441402,15.914735,0.89046,3.589478,16.623562,0.6612,0.6832,0.5517,2.98e-05
17,0.948038,0.899521,3.425083,15.981523,0.886,3.665036,16.760423,0.6638,0.6857,0.5602,2.977e-05
18,0.942953,0.894719,3.4146,15.878827,0.886747,3.854697,17.473423,0.6656,0.6905,0.5765,2.975e-05
19,0.938855,0.890297,3.442891,15.98047,0.879944,3.796914,17.33334,0.6666,0.6895,0.5788,2.972e-05
20,0.934235,0.885555,3.435589,16.036232,0.871112,3.635902,16.700402,0.6675,0.6902,0.584,2.969e-05
