instance,K,chosen,cost
instance_331,100,heuristic,3649
instance_331,500,heuristic,4049
instance_331,1000,heuristic,4549
instance_331,3000,heuristic,6549
instance_331,5000,heuristic,8549
instance_970,100,model,3690
instance_970,500,model,3886
instance_970,1000,model,4386
instance_970,3000,model,6386
instance_970,5000,model,8386
instance_154,100,heuristic,8196
instance_154,500,heuristic,8596
instance_154,1000,heuristic,9096
instance_154,3000,heuristic,11096
instance_154,5000,heuristic,13096
instance_404,100,heuristic,6514
instance_404,500,heuristic,6914
instance_404,1000,heuristic,7414
instance_404,3000,heuristic,9414
instance_404,5000,heuristic,11414
instance_666,100,model,10392
instance_666,500,heuristic,11840
instance_666,1000,heuristic,12840
instance_666,3000,heuristic,16840
instance_666,5000,heuristic,20840
instance_049,100,heuristic,12077
instance_049,500,model,11866
instance_049,1000,heuristic,13877
instance_049,3000,heuristic,17877
instance_049,5000,heuristic,21877
instance_074,100,model,10905
instance_074,500,heuristic,12439
instance_074,1000,heuristic,13439
instance_074,3000,heuristic,17439
instance_074,5000,heuristic,21439
instance_840,100,heuristic,6893
instance_840,500,heuristic,7293
instance_840,1000,heuristic,7793
instance_840,3000,heuristic,9793
instance_840,5000,heuristic,11793
instance_548,100,heuristic,15287
instance_548,500,heuristic,16087
instance_548,1000,heuristic,17087
instance_548,3000,heuristic,21087
instance_548,5000,heuristic,25087
instance_096,100,heuristic,5884
instance_096,500,heuristic,6284
instance_096,1000,heuristic,6784
instance_096,3000,heuristic,8784
instance_096,5000,heuristic,10784
instance_374,100,heuristic,17241
instance_374,500,heuristic,18041
instance_374,1000,heuristic,19041
instance_374,3000,heuristic,23041
instance_374,5000,heuristic,27041
instance_596,100,heuristic,6881
instance_596,500,heuristic,7281
instance_596,1000,heuristic,7781
instance_596,3000,heuristic,9781
instance_596,5000,heuristic,11781
instance_059,100,model,3860
instance_059,500,heuristic,4951
instance_059,1000,heuristic,5451
instance_059,3000,heuristic,7451
instance_059,5000,heuristic,9451
instance_931,100,model,11437
instance_931,500,heuristic,12590
instance_931,1000,heuristic,13090
instance_931,3000,heuristic,15090
instance_931,5000,heuristic,17090
instance_519,100,model,10003
instance_519,500,heuristic,11099
instance_519,1000,heuristic,12099
instance_519,3000,heuristic,16099
instance_519,5000,heuristic,20099
instance_219,100,heuristic,10267
instance_219,500,heuristic,11067
instance_219,1000,heuristic,12067
instance_219,3000,heuristic,16067
instance_219,5000,heuristic,20067
instance_038,100,heuristic,3951
instance_038,500,heuristic,4351
instance_038,1000,heuristic,4851
instance_038,3000,heuristic,6851
instance_038,5000,heuristic,8851
instance_088,100,heuristic,4745
instance_088,500,heuristic,5145
instance_088,1000,heuristic,5645
instance_088,3000,heuristic,7645
instance_088,5000,heuristic,9645
instance_444,100,heuristic,5706
instance_444,500,heuristic,6106
instance_444,1000,heuristic,6606
instance_444,3000,heuristic,8606
instance_444,5000,heuristic,10606
instance_428,100,model,14657
instance_428,500,model,17349
instance_428,1000,heuristic,20358
instance_428,3000,heuristic,24358
instance_428,5000,heuristic,28358
