instance,K,spread,cost,priority_dropped,economy_dropped
instance_331,100,1,3649,0,32
instance_331,500,1,4049,0,32
instance_331,1000,1,4549,0,32
instance_331,3000,1,6549,0,32
instance_331,5000,1,8549,0,32
instance_970,100,2,3690,0,32
instance_970,500,1,3886,0,32
instance_970,1000,1,4386,0,32
instance_970,3000,1,6386,0,32
instance_970,5000,1,8386,0,32
instance_154,100,1,8196,0,76
instance_154,500,1,8596,0,76
instance_154,1000,1,9096,0,76
instance_154,3000,1,11096,0,76
instance_154,5000,1,13096,0,76
instance_404,100,1,6514,0,60
instance_404,500,1,6914,0,60
instance_404,1000,1,7414,0,60
instance_404,3000,1,9414,0,60
instance_404,5000,1,11414,0,60
instance_666,100,3,10392,0,99
instance_666,500,2,11840,0,100
instance_666,1000,2,12840,0,100
instance_666,3000,2,16840,0,100
instance_666,5000,2,20840,0,100
instance_049,100,2,12077,0,108
instance_049,500,3,11866,0,97
instance_049,1000,2,13877,0,108
instance_049,3000,2,17877,0,108
instance_049,5000,2,21877,0,108
instance_074,100,5,10905,0,99
instance_074,500,2,12439,0,105
instance_074,1000,2,13439,0,105
instance_074,3000,2,17439,0,105
instance_074,5000,2,21439,0,105
instance_840,100,1,6893,0,68
instance_840,500,1,7293,0,68
instance_840,1000,1,7793,0,68
instance_840,3000,1,9793,0,68
instance_840,5000,1,11793,0,68
instance_548,100,2,15287,0,137
instance_548,500,2,16087,0,137
instance_548,1000,2,17087,0,137
instance_548,3000,2,21087,0,137
instance_548,5000,2,25087,0,137
instance_096,100,1,5884,0,53
instance_096,500,1,6284,0,53
instance_096,1000,1,6784,0,53
instance_096,3000,1,8784,0,53
instance_096,5000,1,10784,0,53
instance_374,100,2,17241,0,156
instance_374,500,2,18041,0,156
instance_374,1000,2,19041,0,156
instance_374,3000,2,23041,0,156
instance_374,5000,2,27041,0,156
instance_596,100,1,6881,0,63
instance_596,500,1,7281,0,63
instance_596,1000,1,7781,0,63
instance_596,3000,1,9781,0,63
instance_596,5000,1,11781,0,63
instance_059,100,2,3860,0,36
instance_059,500,1,4951,0,43
instance_059,1000,1,5451,0,43
instance_059,3000,1,7451,0,43
instance_059,5000,1,9451,0,43
instance_931,100,3,11437,0,103
instance_931,500,1,12590,0,107
instance_931,1000,1,13090,0,107
instance_931,3000,1,15090,0,107
instance_931,5000,1,17090,0,107
instance_519,100,3,10003,0,96
instance_519,500,2,11099,0,99
instance_519,1000,2,12099,0,99
instance_519,3000,2,16099,0,99
instance_519,5000,2,20099,0,99
instance_219,100,2,10267,0,92
instance_219,500,2,11067,0,92
instance_219,1000,2,12067,0,92
instance_219,3000,2,16067,0,92
instance_219,5000,2,20067,0,92
instance_038,100,1,3951,0,36
instance_038,500,1,4351,0,36
instance_038,1000,1,4851,0,36
instance_038,3000,1,6851,0,36
instance_038,5000,1,8851,0,36
instance_088,100,1,4745,0,43
instance_088,500,1,5145,0,43
instance_088,1000,1,5645,0,43
instance_088,3000,1,7645,0,43
instance_088,5000,1,9645,0,43
instance_444,100,1,5706,0,54
instance_444,500,1,6106,0,54
instance_444,1000,1,6606,0,54
instance_444,3000,1,8606,0,54
instance_444,5000,1,10606,0,54
instance_428,100,5,14657,0,137
instance_428,500,5,17349,0,142
instance_428,1000,2,20358,0,159
instance_428,3000,2,24358,0,159
instance_428,5000,2,28358,0,159
