instance,K,cost,delay_cost,spread_cost,n_priority_ulds,n_priority,n_economy,n_priority_unplaced,n_economy_unplaced
instance_000,3000,15815,6815,9000,3,28,121,0,69
instance_001,100,15611,15011,600,6,66,234,0,152
instance_002,3000,19639,10639,9000,3,34,140,0,101
instance_003,5000,17016,7016,10000,2,28,128,0,74
instance_004,500,9882,8882,1000,2,27,122,0,83
instance_005,500,4463,3463,1000,2,19,66,0,36
instance_006,5000,25682,10682,15000,3,34,133,0,99
instance_007,3000,28353,16353,12000,4,42,199,0,156
instance_008,1000,15658,11658,4000,4,37,183,0,115
instance_009,3000,24290,12290,12000,4,40,159,0,116
instance_010,500,19368,16868,2500,5,48,215,0,155
instance_011,5000,34135,14135,20000,4,48,203,0,139
instance_012,1000,13957,10957,3000,3,36,164,0,115
instance_013,500,22888,19888,3000,6,56,257,0,189
instance_014,1000,18024,15024,3000,3,43,206,0,153
instance_015,3000,24759,12759,12000,4,45,186,0,128
instance_016,100,11989,11589,400,4,35,169,0,115
instance_017,500,22067,19067,3000,6,70,269,0,186
instance_018,100,7944,7644,300,3,27,121,0,76
instance_019,3000,40849,22849,18000,6,63,297,0,219
instance_020,500,21159,18659,2500,5,59,258,0,178
instance_021,3000,25080,13080,12000,4,43,205,0,131
instance_022,1000,8676,6676,2000,2,23,97,0,65
instance_023,500,8079,7079,1000,2,21,80,0,64
instance_024,100,10610,10310,300,3,38,170,0,108
instance_025,5000,33410,13410,20000,4,57,219,0,135
instance_026,100,19159,18659,500,5,58,237,0,171
instance_027,5000,42589,17589,25000,5,61,279,0,180
instance_028,100,16162,15662,500,5,54,225,0,157
instance_029,500,7057,6057,1000,2,20,93,0,61
instance_030,5000,22599,7599,15000,3,33,129,0,79
instance_031,500,9402,7902,1500,3,28,116,0,77
instance_032,5000,48409,18409,30000,6,67,246,0,176
instance_033,100,20240,19640,600,6,72,259,0,190
instance_034,100,20547,20047,500,5,60,281,0,191
instance_035,1000,11287,8287,3000,3,31,138,0,80
instance_036,1000,22765,16765,6000,6,58,271,0,175
instance_037,500,10853,9353,1500,3,31,141,0,93
instance_038,100,19463,18963,500,5,55,263,0,191
instance_039,1000,8683,6683,2000,2,25,88,0,63
instance_040,3000,17310,8310,9000,3,25,118,0,83
instance_041,500,18064,15564,2500,5,61,215,0,150
instance_042,1000,15508,12508,3000,3,52,181,0,120
instance_043,500,17407,14907,2500,5,57,215,0,145
instance_044,5000,23676,8676,15000,3,29,131,0,86
instance_045,1000,13518,9518,4000,4,41,156,0,96
instance_046,5000,25233,10233,15000,3,32,123,0,95
instance_047,500,6520,5520,1000,2,21,89,0,53
instance_048,5000,32437,12437,20000,4,43,180,0,119
instance_049,100,6873,6673,200,2,29,115,0,69
instance_050,100,11531,11231,300,3,29,145,0,105
instance_051,3000,12655,6655,6000,2,25,95,0,62
instance_052,1000,15209,11209,4000,4,37,166,0,105
instance_053,100,12075,11675,400,4,39,170,0,115
instance_054,500,8052,7052,1000,2,22,97,0,71
instance_055,3000,32083,17083,15000,5,54,229,0,166
instance_056,100,16370,15870,500,5,61,233,0,162
instance_057,5000,44081,19081,25000,5,70,272,0,186
instance_058,3000,14990,5990,9000,3,28,123,0,63
instance_059,3000,36467,18467,18000,6,62,234,0,169
instance_060,3000,19262,10262,9000,3,36,137,0,97
instance_061,500,8047,7047,1000,2,27,120,0,75
instance_062,3000,13482,7482,6000,2,19,92,0,69
instance_063,1000,12681,9681,3000,3,38,164,0,102
instance_064,500,11765,10265,1500,3,35,142,0,99
instance_065,5000,16671,6671,10000,2,25,126,0,70
instance_066,100,5270,5070,200,2,20,89,0,52
instance_067,5000,44371,19371,25000,5,51,274,0,192
instance_068,500,6282,5282,1000,2,21,83,0,53
instance_069,3000,23462,11462,12000,4,36,178,0,113
instance_070,3000,19545,10545,9000,3,46,164,0,107
instance_071,5000,31656,11656,20000,4,43,196,0,123
instance_072,3000,41909,23909,18000,6,64,295,0,230
instance_073,5000,33768,13768,20000,4,56,229,0,139
instance_074,3000,31468,16468,15000,5,71,235,0,159
instance_075,1000,24658,18658,6000,6,68,254,0,182
instance_076,100,16166,15766,400,4,49,225,0,154
instance_077,3000,35340,17340,18000,6,62,230,0,165
instance_078,500,25715,22715,3000,6,72,279,0,213
instance_079,500,11782,10282,1500,3,34,142,0,101
instance_080,5000,35968,15968,20000,4,55,244,0,161
instance_081,5000,46910,16910,30000,6,53,237,0,165
instance_082,3000,19529,10529,9000,3,37,130,0,97
instance_083,3000,12460,6460,6000,2,21,84,0,59
instance_084,500,11812,10312,1500,3,29,132,0,102
instance_085,100,5089,4889,200,2,19,80,0,49
instance_086,500,19635,17135,2500,5,48,204,0,165
instance_087,3000,11949,5949,6000,2,18,88,0,62
instance_088,100,13627,13227,400,4,46,199,0,125
instance_089,5000,40194,15194,25000,5,54,239,0,153
instance_090,500,16257,14257,2000,4,44,175,0,135
instance_091,1000,13095,10095,3000,3,37,158,0,105
instance_092,100,16650,16150,500,5,61,222,0,155
instance_093,5000,34324,14324,20000,4,55,204,0,138
instance_094,5000,32458,12458,20000,4,51,199,0,125
instance_095,5000,23442,8442,15000,3,36,165,0,89
instance_096,3000,25157,13157,12000,4,46,181,0,132
instance_097,1000,28440,22440,6000,6,70,310,0,215
instance_098,1000,6323,4323,2000,2,16,70,0,47
instance_099,5000,22210,7210,15000,3,30,114,0,75
