instance,K,method,cost,delay_cost,spread,priority_dropped,economy_dropped
instance_000,500,GA,10703,9203,3,0,78
instance_000,500,RL,7564,7064,1,0,67
instance_001,1000,GA,24769,18769,6,0,162
instance_001,1000,RL,14387,12387,2,0,114
instance_002,100,GA,12159,11859,3,0,101
instance_002,100,RL,8019,7719,3,0,70
instance_003,1000,GA,13423,11423,2,0,98
instance_003,1000,RL,5447,4447,1,0,43
instance_004,100,GA,11265,11065,2,0,95
instance_004,100,RL,7756,7656,1,0,72
instance_005,1000,GA,6164,4164,2,0,37
instance_005,1000,RL,3802,2802,1,0,28
instance_006,5000,GA,26190,11190,3,0,93
instance_006,5000,RL,10670,5670,1,0,52
instance_007,500,GA,19950,17950,4,0,158
instance_007,500,RL,15087,14087,2,0,132
instance_008,5000,GA,34347,14347,4,0,121
instance_008,5000,RL,20654,10654,2,0,98
instance_009,3000,GA,26124,14124,4,0,123
instance_009,3000,RL,15513,12513,1,0,111
instance_010,500,GA,20208,17708,5,0,149
instance_010,500,RL,15794,14794,2,0,129
instance_011,5000,GA,36395,16395,4,0,136
instance_011,5000,RL,22482,12482,2,0,114
instance_012,5000,GA,26643,11643,3,0,108
instance_012,5000,RL,13275,8275,1,0,83
instance_014,5000,GA,31528,16528,3,0,153
instance_014,5000,RL,15581,10581,1,0,109
instance_015,3000,GA,27476,15476,4,0,138
instance_015,3000,RL,16683,10683,2,0,101
instance_016,3000,GA,24885,12885,4,0,114
instance_016,3000,RL,19218,13218,2,0,118
instance_018,100,GA,10214,9914,3,0,85
instance_018,100,RL,7309,7209,1,0,66
instance_021,100,GA,16154,15754,4,0,137
instance_021,100,RL,13304,12904,4,0,120
instance_022,5000,GA,18148,8148,2,0,70
instance_022,5000,RL,10310,5310,1,0,49
instance_023,1000,GA,9130,7130,2,0,59
instance_023,1000,RL,4931,3931,1,0,36
instance_024,100,GA,12711,12411,3,0,109
instance_024,100,RL,11564,11164,4,0,104
instance_025,100,GA,16525,16125,4,0,139
instance_025,100,RL,11636,11336,3,0,110
instance_026,500,GA,23088,20588,5,0,176
instance_026,500,RL,13721,12721,2,0,120
instance_028,500,GA,20745,18245,5,0,160
instance_028,500,RL,16892,15892,2,0,142
instance_029,500,GA,6990,5990,2,0,55
instance_029,500,RL,5936,5436,1,0,50
instance_030,3000,GA,20956,11956,3,0,104
instance_030,3000,RL,8724,5724,1,0,58
instance_031,3000,GA,18801,9801,3,0,84
instance_031,3000,RL,11110,8110,1,0,75
instance_035,5000,GA,26225,11225,3,0,96
instance_035,5000,RL,10613,5613,1,0,55
instance_037,500,GA,12133,10633,3,0,94
instance_037,500,RL,8607,8107,1,0,76
instance_039,500,GA,9258,8258,2,0,68
instance_039,500,RL,5513,5013,1,0,46
instance_040,1000,GA,11624,8624,3,0,77
instance_040,1000,RL,7120,6120,1,0,59
instance_041,5000,GA,45718,20718,5,0,175
instance_041,5000,RL,22652,12652,2,0,121
instance_042,100,GA,15006,14706,3,0,123
instance_042,100,RL,12108,11708,4,0,105
instance_043,1000,GA,21182,16182,5,0,141
instance_043,1000,RL,13639,11639,2,0,110
instance_044,3000,GA,19520,10520,3,0,89
instance_044,3000,RL,10326,7326,1,0,67
instance_045,500,GA,14879,12879,4,0,110
instance_045,500,RL,7145,6145,2,0,60
instance_046,500,GA,13066,11566,3,0,97
instance_046,500,RL,7419,6919,1,0,65
instance_047,5000,GA,16320,6320,2,0,54
instance_047,5000,RL,8922,3922,1,0,36
instance_048,3000,GA,26542,14542,4,0,124
instance_048,3000,RL,13574,10574,1,0,91
instance_049,5000,GA,18060,8060,2,0,72
instance_049,5000,RL,12030,7030,1,0,63
instance_050,100,GA,12509,12209,3,0,103
instance_050,100,RL,7575,7475,1,0,71
instance_051,100,GA,8623,8423,2,0,70
instance_051,100,RL,6754,6654,1,0,59
instance_052,100,GA,14150,13750,4,0,113
instance_052,100,RL,9840,9540,3,0,91
instance_053,5000,GA,35571,15571,4,0,133
instance_053,5000,RL,21165,11165,2,0,95
instance_054,3000,GA,14006,8006,2,0,70
instance_054,3000,RL,8069,5069,1,0,48
instance_055,3000,GA,36360,21360,5,0,186
instance_055,3000,RL,19644,13644,2,0,126
instance_056,100,GA,18544,18044,5,0,161
instance_056,100,RL,11199,10999,2,0,112
