instance,K,spread,cost,priority_dropped,economy_dropped
instance_331,100,2,4138,0,35
instance_331,500,1,4477,0,36
instance_331,1000,1,4977,0,36
instance_331,3000,1,6977,0,36
instance_331,5000,1,8977,0,36
instance_970,100,2,3690,0,32
instance_970,500,1,3886,0,32
instance_970,1000,1,4386,0,32
instance_970,3000,1,6386,0,32
instance_970,5000,1,8386,0,32
instance_154,100,3,10088,0,88
instance_154,500,1,8596,0,76
instance_154,1000,1,9096,0,76
instance_154,3000,1,11096,0,76
instance_154,5000,1,13096,0,76
instance_404,100,2,7369,0,63
instance_404,500,1,6914,0,60
instance_404,1000,1,7414,0,60
instance_404,3000,1,9414,0,60
instance_404,5000,1,11414,0,60
instance_666,100,3,10392,0,99
instance_666,500,4,12751,0,104
instance_666,1000,4,15825,0,111
instance_666,3000,3,22112,0,119
instance_666,5000,3,27715,0,118
instance_049,100,3,13005,0,113
instance_049,500,3,11866,0,97
instance_049,1000,2,13877,0,108
instance_049,3000,2,17877,0,108
instance_049,5000,2,21877,0,108
instance_074,100,5,10905,0,99
instance_074,500,5,13371,0,104
instance_074,1000,5,16784,0,108
instance_074,3000,3,20333,0,101
instance_074,5000,3,26423,0,103
instance_840,100,3,7209,0,71
instance_840,500,3,8409,0,71
instance_840,1000,4,10844,0,68
instance_840,3000,3,16088,0,71
instance_840,5000,3,22088,0,71
instance_548,100,4,16823,0,144
instance_548,500,3,17023,0,139
instance_548,1000,6,22153,0,143
instance_548,3000,6,37257,0,166
instance_548,5000,5,44571,0,164
instance_096,100,2,5981,0,53
instance_096,500,1,6284,0,53
instance_096,1000,1,6784,0,53
instance_096,3000,1,8784,0,53
instance_096,5000,1,10784,0,53
instance_374,100,5,17738,0,157
instance_374,500,5,21013,0,170
instance_374,1000,4,22999,0,170
instance_374,3000,3,27752,0,167
instance_374,5000,3,33104,0,162
instance_596,100,1,6881,0,63
instance_596,500,1,7281,0,63
instance_596,1000,1,7781,0,63
instance_596,3000,1,9781,0,63
instance_596,5000,1,11781,0,63
instance_059,100,2,3860,0,36
instance_059,500,1,4951,0,43
instance_059,1000,1,5451,0,43
instance_059,3000,1,7451,0,43
instance_059,5000,1,9451,0,43
instance_931,100,3,11437,0,103
instance_931,500,2,13139,0,107
instance_931,1000,3,16148,0,114
instance_931,3000,2,18695,0,111
instance_931,5000,2,22695,0,111
instance_519,100,3,10003,0,96
instance_519,500,4,11248,0,91
instance_519,1000,5,15229,0,98
instance_519,3000,4,22989,0,103
instance_519,5000,3,28003,0,117
instance_219,100,3,11146,0,99
instance_219,500,4,12763,0,97
instance_219,1000,3,13325,0,90
instance_219,3000,3,20939,0,103
instance_219,5000,3,27562,0,105
instance_038,100,2,4344,0,38
instance_038,500,1,4351,0,36
instance_038,1000,1,4851,0,36
instance_038,3000,1,6851,0,36
instance_038,5000,1,8851,0,36
instance_088,100,3,5788,0,47
instance_088,500,2,6556,0,48
instance_088,1000,2,7556,0,48
instance_088,3000,2,12573,0,56
instance_088,5000,2,15556,0,48
instance_444,100,1,5706,0,54
instance_444,500,1,6106,0,54
instance_444,1000,1,6606,0,54
instance_444,3000,1,8606,0,54
instance_444,5000,1,10606,0,54
instance_428,100,5,14657,0,137
instance_428,500,5,17349,0,142
instance_428,1000,6,23479,0,162
instance_428,3000,3,27746,0,163
instance_428,5000,3,33867,0,162
